"año","nombreestablecimiento","zona","direccion","telefono","nombre_Rector","tipo_Establecimiento","sector","niveles","jornadas","especialidad","grados","numero_de_Sedes","estado","correo_Electronico"
"2,016","LIC SANTA PAULA","URBANA","CR. 92A NO.76-42/32",,"MERCEDES SANCHEZ LOPEZ ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,
"2,016","COL DEL SAGRADO CORAZON DE JESUS BETHLEMITAS                                                        ","URBANA","KR 7 65 42","3479700","HNA CIELO MORENO CALDERON","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"info@bethlemitasbogota.edu.co"
"2,016","COL ADOLFO LEON GOMEZ","URBANA","CR. 78A NO. 64D-74 SUR","7755492 / 7760010","NO INFORMACION","CENTRO EDUCATIVO",,,,,,"1",,
"2,016","GIMNASIO NUESTRA SEÑORA DE LA ESPERANZA","URBANA","DG 45 B SUR 8 30 ESTE","3641973 -- 8123572","ADRIANA ALBUJA SANTOS","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"gim.nuestrasenoradelaesperanza@gmail.com"
"2,016","COL INTEGRADO SANTO TORIBIO DE MOGROVEJO                                                            ","URBANA","CL 49 A SUR 5 A 37","2793971","CLAUDIA MIREYA BAQUERO MORA","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,"elcycarreno@yahoo.com                             "
"2,016","GIMN WILLIAM MACKINLEY                                                                              ","URBANA","DG 22 B 48 53","3690404 / 05 / 06","DANIEL ALBERTO ACOSTA SALAZAR","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"gwmk@gwmk.net -- gwmk@gwmk.edu.co"
"2,016","LICEO BET-EL","URBANA","KR 90 135 B 68",,"RICARDO ALBERTO PADILLA","INSTITUCION EDUCATIVA",,"MEDIA,BÁSICA SECUNDARIA","ÚNICA","ACADÉMICA","6,7,8,9,10,11","1",,
"2,016","COLEGIO INTEGRADO EDUARDO CABALLERO CALDERON","URBANA","CL 132 D BIS 132 08","6890458 -- 6900264","JOSÉ ARAQUE NOGUERA","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"colegioeduardoc@yahoo.es"
"2,016","COLEGIO GUSTAVO MORALES MORALES (IED)","URBANA","CL 129 55 55","2712209 -- 6245065","IRMA GIOVANA CORREDOR PEÑA","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE","ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11,99","2",,"coldigustavomorale11@redp.edu.co"
"2,016","LIC PSICOPEDAG UCRANIA                                                                              ","URBANA","CR. 3B NO.48R-87 SUR","7711508","MIREYA PICO JOYA","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-1,0,1,2,3,4,5","1",,"Lipsiucrania@hotmail.com                          "
"2,016","LIC PSICOPEDAG MORATO                                                                               ","URBANA","DG 103 54 65","2713142 / 6137323                                 ","ANGELICA MARIA HIGUERA BERNAL","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2","1",,"liceomorato@hotmail.com                           "
"2,016","LICEO ARTISTICO SAN JOSE","URBANA","KR 137 BIS 132 F 12","6973589","SANDRA MILENA FLORES FONSECA","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","ÚNICA",,"-2,-1,0,1,2,3,4,5","1",,"jardininfantilenanostraviesos@hotmail.com  "
"2,016","COLEGIO INSTITUTO TECNICO DISTRITAL REPUBLICA DE GUATEMALA (IED)","URBANA","CL 78 BIS 68 A 45","2518759 / 2515341 /","PAULO AUGUSTO QUEVEDO SERRANO","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,TARDE","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"intdirepdeguatemal10@redp.edu.co"
"2,016","INST ANDRES FEY                                                                                     ","URBANA","CL 66 A 72 40","2247757 -- 2760409","HNA ROSA EMILIA PIJ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11","1",,"institutoandresfey@yahoo.com"
"2,016","INST DE CAPACITACION PARA EL TRABAJO","URBANA","CL 63 22 39","2176710  --  3112325504  --  3123379090","CONSTANZA CASTILLO DE ARREGOCES","CENTRO EDUCATIVO",,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,FIN DE SEMANA","ACADÉMICA","21,22,23,24,25,26","1",,"ict.educacion@gmail.com"
"2,016","NUEVO LIC SANTA CLARA","URBANA","KR 10 49 F 90 SUR","7608902 -- 2055591 -- 2796573","CLARA ISABEL ESPINOSA ROMERO","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","OTRO,ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"nuevoliceosantaclara@hotmail.com"
"2,016","LIC MODERNO MIS COMPAÑERITOS                                                                        ","URBANA","CL 20 C 96 I 40","2670095","ADRIANA ELIZABETH FONNEGRA DE QUINTERO ","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA",,"-2,-1,0,1,2,3,4,5","1",,"lmmiscompaneritos@hotmail.com"
"2,016","JARD INF LERNER Y KLEIN                                                                             ","URBANA","DG 53 43 75","2214582","MARIA ESPERANZA VASQUEZ VARGAS","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,3","1",,"jardinlernerklein@tutopia.com  "
"2,016","INSTITUTO DANTE ALIGHIERI","URBANA","CL 186 8 44","5472508","ELIANA ELISA GUZMAN GARCIA","CENTRO EDUCATIVO",,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","NOCTURNA","ACADÉMICA","21,22,23,24,25,26","1",,"institutodantealiguieri01@outlook.com"
"2,016","COLEGIO ALEJANDRO OBREGON (IED)","URBANA","CL 30 SUR 15 45","2722320 / 2095239","REINERIO GUTIERREZ MELO","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"cedalejandroobreg18@redp.edu.co"
"2,016","LIC  ANDRES DIAZ VENERO DE LEIVA                                                                    ","URBANA","KR 7 D BIS A 156 08","6704472","ANA SOFIA DIAZ DE HERRERA","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-1,0,1,2,3,4,5","1",,"licandresdiaz@hotmail.com"
"2,016","JARD INF TALLER EL GARABATEO MATERNO INFANTIL","URBANA","CL 74 B 68 A 18","4307449 / 2514602","YOLANDA LOZANO MARTINEZ","CENTRO EDUCATIVO",,"PREESCOLAR","COMPLETA",,"-3","1",,
"2,016","JARDIN INFANTIL UNIVERSO MAGICO","URBANA","KR 36 A 57 95","2218629 -- 5499072","NELLY STELLA GARAY REYES","CENTRO EDUCATIVO",,"PREESCOLAR","COMPLETA",,"-3","1",,"nicolasa@unimagico.com -- nellystella1031@hotmail.com -- unimagico5@hotmail.com"
"2,016","COLEGIO ANTONIO JOSE URIBE (IED)","URBANA","CL 3 9 80","2893956 -- 2894401","ALEJANDRO VASQUEZ WILCHES","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,NOCTURNA,TARDE","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99","2",,"coldiantoniojoseur3@redp.edu.co"
"2,016","COL DE LA PRESENTACION SANS FACON                                                                   ","URBANA","CL 170 17 A 55","6711198 -- 6714912","HNA LAURA INES NIÑO MARTINEZ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"presentacionsf@gmail.com -- ilsagomez1@gmail.com"
"2,016","LIC EL ENCUENTRO                                                                                    ","URBANA","KR 20 81 55","7455530  --  3176466607","MARIANO SANCHEZ FLOREZ ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"colegioliceoelencuentro@hotmail.com"
"2,016","INST MARIA                                                                                          ","URBANA","KR 69 B 77 36","2505685 / 2408726","GLORIA PATRICIA DELGADO MONTEJO","INSTITUCION EDUCATIVA",,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,"0,1,2,3,4,5,6,7,8,9","1",,"institutomaria@hotmail.com"
"2,016","COLEGIO AGUSTIN FERNANDEZ (IED)","URBANA","KR 7 155 20","6791049 -- 6692881 -- 6718876 -- 6710239","EDUARDO RAMIREZ OSORIO","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99","3",,"coldiagustinfernan1@redp.edu.co"
"2,016","EL PORTAL FUNDACION     ","URBANA","IND AV. 13 NO.62-40 SUR (VÍA USME)","2795778 / 7142246 /                               ","MERCEDES BENAVIDES HERNANDEZ","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,"elportalfundacion@hotmail.com  direccion@fundacionelportal.org               "
"2,016","COLEGIO CEDID SAN PABLO (IED)","URBANA","IND TR. 6A NO.6A-30 (BOSA)","7751161 / 7765276","BLANCA LILIA SANCHEZ BOHORQUEZ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA","COMERCIAL,ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,23,24,25,26","3",,"cedidsanpablobosa7@redp.edu.co"
"2,016","COL NUEVA INGLATERRA                                                                                ","URBANA","CL 218 50 60","6760788 / 6760814                                 ","DARBY DANILO ALMANZA RINCON","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"cni@colegionuevainglaterra.edu.co"
"2,016","GIMN IMPERIAL IGNACIA CAMACHO DE CIFUENTES                                                          ","URBANA","CR. 84 NO.55-17 SUR","7770501","NIDYA GISETH CIFUENTES REYES","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"gimnimperial@uole.com                             "
"2,016","COLEGIO LA PAZ (CED)","URBANA","DG 52 A SUR 5 B 48","5690362","ERIC FABIANO BAEZ BAEZ","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,TARDE",,"0,1,2,3,4,5","1",,"cedlapaz18@redp.edu.co"
"2,016","NUEVO COL BILING LARCHMONT","URBANA","CR. 59 NO.173-51",,"NISLEN TERZANO DE STOL","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,"0,1,2,3,4,5,6,7,8,9,10,11","1",,
"2,016","LIC PSICOPEDAG SAN PABLO","URBANA","TV 5 G 48 P 03 SUR","7723210  --  3004314100","RUTH MARY SILVA RAMOS","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5,6","1",,"liceopsicopedagogicosanpablo@gmail.com - administracion@liceosanpablo.edu.co"
"2,016","COLEGIO KUEPA","URBANA","CL 22 G 96 I 23","6196152 -- 2671208","JORGE LUIS GARCIA GARZON ","CENTRO EDUCATIVO",,"MEDIA,BÁSICA SECUNDARIA","NOCTURNA,FIN DE SEMANA","ACADÉMICA","23,24,25,26","1",,"jorge.garcia@kuepa.com"
"2,016","JARD INF PITIN                                                                                      ","URBANA","CLL. 80 NO.42-20","2507427","GLORIA INES BORDA","CENTRO EDUCATIVO",,"PREESCOLAR","COMPLETA",,"-3","1",,
"2,016","CENT FE Y ALEGRIA PATIO BONITO                                                                      ","URBANA","KR 95 24 15 SUR","4507053","LUZ FANNY ZABALETA IBANEZ","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,"0,1,2,3,4,5,6,7","1",,"fyapatio@tutopia.com                              "
"2,016","JARD INF SATELITE PRIMAVERA","URBANA","TV 40 C 6 B 26","2011453","DORA ALICIA CASTILLA ","CENTRO EDUCATIVO",,"PREESCOLAR","COMPLETA",,"-3","1",,
"2,016","COLEGIO ALEXANDER FLEMING (IED)","URBANA","DG 45 BIS SUR 13 F 03","2795348 / 5695025","JOSE VICENTE SEVILLA GARCIA","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,ÚNICA,TARDE","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","4",,"colalexanderfleming18@gmail.com"
"2,016","JARDÍN INFANTIL CHISPITAS DE LUZ","URBANA","TV 78 D 49 04 SUR","4515496","LUISA FERNANDA SANCHEZ LOPEZ","CENTRO EDUCATIVO",,"PREESCOLAR","COMPLETA",,"-1","1",,"jchispiluz@hotmail.com"
"2,016","COL MODERNO ENGATIVA                                                                                ","URBANA","CL 64 BIS 112 B 61","5421016","MARTHA BEATRIZ CARRASCO GUERRA","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"colmodernengativa@hotmail.com   colmoderenga@hotmail.com                 "
"2,016","COL SANTO TOMAS DE AQUINO                                                                           ","URBANA","KR 21 132 46","2581241 -- 2581242 -- 2580010","FR ISMAEL LEONARDO BALLESTEROS GUERRERO OP","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"colegio@santotomas.edu.co"
"2,016","GIMNASIO LA FONTAINE","URBANA","KR 74 F 59 A 16 SUR","6958187  --  7771743","LUZ NELLY FORERO REYES","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","ÚNICA",,"0,1,2,3,4,5","1",,"gimfontaine.lac@gmail.com"
"2,016","UNID PREESC SANTA MONICA                                                                            ","URBANA","CR. 38 NO.55-18","3153421","LUZ AURORA DE RAMIREZ","CENTRO EDUCATIVO",,"PREESCOLAR","COMPLETA",,"-3","1",,"AMRO001@hotmail.com                               "
"2,016","COL DE BTO PATRIA                                                                                   ","URBANA","CL 100 11 00","2147327","CLAUDIA YANIVE PRIETO CASTILLO","INSTITUCION EDUCATIVA",,"MEDIA,BÁSICA SECUNDARIA","COMPLETA","ACADÉMICA","6,7,8,9,10,11","1",,"bachilleratopatria@hotmail.com                    "
"2,016","LICEO HUELLAS DE TRIUNFO","URBANA","CR. 89 A NO. 88 - 52 ","2764125","MARIA EUGENIA VARELA TORRES","CENTRO EDUCATIVO",,,,,,"1",,"huellasdetriunfo@hotmail.com"
"2,016","LIC DE CERVANTES EL RETIRO                                                                          ","URBANA","KR 8 83 29","2368585 -- 5303325 -- 5300724PBX","RDO. WILLIAM JOSUE CARREÑO MORA","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA","ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11","1",,"rectoria@liceodecervantesretiro.edu.co"
"2,016","COLEGIO ALEMANIA UNIFICADA (IED)","URBANA","CL 37 SUR 1 F 00 ESTE","3626978 -- 3645632","FABIOLA BALLEN TRIANA","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","3",,"cedalemaniaunificada@redp.edu.co"
"2,016","NUEVO LIC PSICOPEDAGOGICO                                                                           ","URBANA","CL 35 C SUR 73 F 03","2731063 / 4542152                                 ","HERNEY DARIO RODRIGUEZ BARRAGAN","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,"nlsicopedagogico@terra.com.co                     "
"2,016","INST RICHARD ANTONIO                                                                                ","URBANA","CL 89 95 F 78 IN 107","5364751 -- 3213058612","EDELMIRA CORTÉS DE LADINO","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"0,1,2,3,4,5","1",,"institutorichardantonio@hotmail.com"
"2,016","LIC INF MIS PRIMEROS LOGROS                                                                         ","URBANA","KR 7 ESTE 45 A 20 SUR","2075402","LUZ MARINA MORA AMADO","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,"liceoprimerologros@hotmail.com"
"2,016","LIC OCTAVIO PAZ                                                                                     ","URBANA","KR 88 I BIS 58 A 14 SUR","7837665","MONICA TORRES SUAREZ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"liceoctaviopaz@gmail.com"
"2,016","COLEGIO JOSÉ FRANCISCO SOCARRÁS (IED)","URBANA","KR 88 C 66 A 03 SUR","7238531 -- 7238469 -- 7238530","CARLOS AUGUSTO RODRIGUEZ LOPEZ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"josefrancisco.socarras@gmail.com -- coldisjosefrancsoc@redp.edu.co"
"2,016","COLEGIO NUEVA GENERACIÓN DUMBO","URBANA","CL 3 A 71 A 03","4142933","AURA LILIA NUÑEZ DE VIVAS","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,"jardiinfantildumbo@yahoo.com                      "
"2,016","INST BILING DEL  SUR                                                                                ","URBANA","CL 54 A 27 39 SUR","2041225","RUTH MIREYA PACHON ROZO","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,
